spp,Species.Name,Grid,Data.Source,Records
V_vulpes,V. vulpes,UH26,Global Biodiversity,0
V_vulpes,V. vulpes,UH26,No Validation,1
V_vulpes,V. vulpes,UH26,Sequences Record,7
V_vulpes,V. vulpes,UH26,Daily Record,4
L_lutra,L. lutra,UH26,Global Biodiversity,2
L_lutra,L. lutra,UH26,No Validation,1
L_lutra,L. lutra,UH26,Sequences Record,0
L_lutra,L. lutra,UH26,Daily Record,0
M_foina,M. foina,UH26,Global Biodiversity,1
M_foina,M. foina,UH26,No Validation,0
M_foina,M. foina,UH26,Sequences Record,3
M_foina,M. foina,UH26,Daily Record,2
M_meles,M. meles,UH26,Global Biodiversity,0
M_meles,M. meles,UH26,No Validation,0
M_meles,M. meles,UH26,Sequences Record,1
M_meles,M. meles,UH26,Daily Record,1
M_nivalis,M. nivalis,UH26,Global Biodiversity,0
M_nivalis,M. nivalis,UH26,No Validation,0
M_nivalis,M. nivalis,UH26,Sequences Record,0
M_nivalis,M. nivalis,UH26,Daily Record,0
S_scrofa,S. scrofa,UH26,Global Biodiversity,0
S_scrofa,S. scrofa,UH26,No Validation,2
S_scrofa,S. scrofa,UH26,Sequences Record,1
S_scrofa,S. scrofa,UH26,Daily Record,1
C_elaphus,C. elaphus,UH26,Global Biodiversity,0
C_elaphus,C. elaphus,UH26,No Validation,0
C_elaphus,C. elaphus,UH26,Sequences Record,3
C_elaphus,C. elaphus,UH26,Daily Record,2
E_europaeus,E. europaeus,UH26,Global Biodiversity,0
E_europaeus,E. europaeus,UH26,No Validation,0
E_europaeus,E. europaeus,UH26,Sequences Record,0
E_europaeus,E. europaeus,UH26,Daily Record,0
M_putorius,M. putorius,UH26,Global Biodiversity,0
M_putorius,M. putorius,UH26,No Validation,0
M_putorius,M. putorius,UH26,Sequences Record,0
M_putorius,M. putorius,UH26,Daily Record,0
C_pynernaica,C. pynernaica,UH26,Global Biodiversity,0
C_pynernaica,C. pynernaica,UH26,No Validation,0
C_pynernaica,C. pynernaica,UH26,Sequences Record,0
C_pynernaica,C. pynernaica,UH26,Daily Record,0
S_vulgaris,S. vulgaris,UH26,Global Biodiversity,0
S_vulgaris,S. vulgaris,UH26,No Validation,0
S_vulgaris,S. vulgaris,UH26,Sequences Record,0
S_vulgaris,S. vulgaris,UH26,Daily Record,0
E_quercinus,E. quercinus,UH26,Global Biodiversity,0
E_quercinus,E. quercinus,UH26,No Validation,0
E_quercinus,E. quercinus,UH26,Sequences Record,0
E_quercinus,E. quercinus,UH26,Daily Record,0
O_cuniculus,O. cuniculus,UH30,Global Biodiversity,1
O_cuniculus,O. cuniculus,UH30,No Validation,1
O_cuniculus,O. cuniculus,UH30,Sequences Record,0
O_cuniculus,O. cuniculus,UH30,Daily Record,0
L_granatensis,L. granatensis,UH30,Global Biodiversity,1
L_granatensis,L. granatensis,UH30,No Validation,1
L_granatensis,L. granatensis,UH30,Sequences Record,2
L_granatensis,L. granatensis,UH30,Daily Record,2
G_genetta,G. genetta,UH30,Global Biodiversity,1
G_genetta,G. genetta,UH30,No Validation,0
G_genetta,G. genetta,UH30,Sequences Record,7
G_genetta,G. genetta,UH30,Daily Record,5
H_icheneumon,H. icheneumon,UH30,Global Biodiversity,1
H_icheneumon,H. icheneumon,UH30,No Validation,0
H_icheneumon,H. icheneumon,UH30,Sequences Record,1
H_icheneumon,H. icheneumon,UH30,Daily Record,1
V_vulpes,V. vulpes,UH30,Global Biodiversity,4
V_vulpes,V. vulpes,UH30,No Validation,9
V_vulpes,V. vulpes,UH30,Sequences Record,2
V_vulpes,V. vulpes,UH30,Daily Record,2
L_lutra,L. lutra,UH30,Global Biodiversity,19
L_lutra,L. lutra,UH30,No Validation,1
L_lutra,L. lutra,UH30,Sequences Record,0
L_lutra,L. lutra,UH30,Daily Record,0
M_foina,M. foina,UH30,Global Biodiversity,0
M_foina,M. foina,UH30,No Validation,0
M_foina,M. foina,UH30,Sequences Record,3
M_foina,M. foina,UH30,Daily Record,3
M_meles,M. meles,UH30,Global Biodiversity,0
M_meles,M. meles,UH30,No Validation,2
M_meles,M. meles,UH30,Sequences Record,3
M_meles,M. meles,UH30,Daily Record,3
M_nivalis,M. nivalis,UH30,Global Biodiversity,1
M_nivalis,M. nivalis,UH30,No Validation,1
M_nivalis,M. nivalis,UH30,Sequences Record,0
M_nivalis,M. nivalis,UH30,Daily Record,0
S_scrofa,S. scrofa,UH30,Global Biodiversity,5
S_scrofa,S. scrofa,UH30,No Validation,4
S_scrofa,S. scrofa,UH30,Sequences Record,6
S_scrofa,S. scrofa,UH30,Daily Record,3
C_elaphus,C. elaphus,UH30,Global Biodiversity,0
C_elaphus,C. elaphus,UH30,No Validation,7
C_elaphus,C. elaphus,UH30,Sequences Record,0
C_elaphus,C. elaphus,UH30,Daily Record,0
E_europaeus,E. europaeus,UH30,Global Biodiversity,0
E_europaeus,E. europaeus,UH30,No Validation,0
E_europaeus,E. europaeus,UH30,Sequences Record,0
E_europaeus,E. europaeus,UH30,Daily Record,0
M_putorius,M. putorius,UH30,Global Biodiversity,0
M_putorius,M. putorius,UH30,No Validation,0
M_putorius,M. putorius,UH30,Sequences Record,0
M_putorius,M. putorius,UH30,Daily Record,0
C_pynernaica,C. pynernaica,UH30,Global Biodiversity,0
C_pynernaica,C. pynernaica,UH30,No Validation,0
C_pynernaica,C. pynernaica,UH30,Sequences Record,0
C_pynernaica,C. pynernaica,UH30,Daily Record,0
S_vulgaris,S. vulgaris,UH30,Global Biodiversity,0
S_vulgaris,S. vulgaris,UH30,No Validation,0
S_vulgaris,S. vulgaris,UH30,Sequences Record,0
S_vulgaris,S. vulgaris,UH30,Daily Record,0
E_quercinus,E. quercinus,UH30,Global Biodiversity,0
E_quercinus,E. quercinus,UH30,No Validation,1
E_quercinus,E. quercinus,UH30,Sequences Record,0
E_quercinus,E. quercinus,UH30,Daily Record,0
O_cuniculus,O. cuniculus,UH40,Global Biodiversity,1
O_cuniculus,O. cuniculus,UH40,No Validation,6
O_cuniculus,O. cuniculus,UH40,Sequences Record,23
O_cuniculus,O. cuniculus,UH40,Daily Record,16
L_granatensis,L. granatensis,UH40,Global Biodiversity,0
L_granatensis,L. granatensis,UH40,No Validation,3
L_granatensis,L. granatensis,UH40,Sequences Record,1
L_granatensis,L. granatensis,UH40,Daily Record,1
G_genetta,G. genetta,UH40,Global Biodiversity,3
G_genetta,G. genetta,UH40,No Validation,1
G_genetta,G. genetta,UH40,Sequences Record,2
G_genetta,G. genetta,UH40,Daily Record,1
H_icheneumon,H. icheneumon,UH40,Global Biodiversity,2
H_icheneumon,H. icheneumon,UH40,No Validation,0
H_icheneumon,H. icheneumon,UH40,Sequences Record,0
H_icheneumon,H. icheneumon,UH40,Daily Record,0
V_vulpes,V. vulpes,UH40,Global Biodiversity,1
V_vulpes,V. vulpes,UH40,No Validation,7
V_vulpes,V. vulpes,UH40,Sequences Record,27
V_vulpes,V. vulpes,UH40,Daily Record,21
L_lutra,L. lutra,UH40,Global Biodiversity,5
L_lutra,L. lutra,UH40,No Validation,0
L_lutra,L. lutra,UH40,Sequences Record,0
L_lutra,L. lutra,UH40,Daily Record,0
M_foina,M. foina,UH40,Global Biodiversity,1
M_foina,M. foina,UH40,No Validation,4
M_foina,M. foina,UH40,Sequences Record,14
M_foina,M. foina,UH40,Daily Record,6
M_meles,M. meles,UH40,Global Biodiversity,0
M_meles,M. meles,UH40,No Validation,5
M_meles,M. meles,UH40,Sequences Record,1
M_meles,M. meles,UH40,Daily Record,1
M_nivalis,M. nivalis,UH40,Global Biodiversity,0
M_nivalis,M. nivalis,UH40,No Validation,1
M_nivalis,M. nivalis,UH40,Sequences Record,0
M_nivalis,M. nivalis,UH40,Daily Record,0
S_scrofa,S. scrofa,UH40,Global Biodiversity,6
S_scrofa,S. scrofa,UH40,No Validation,9
S_scrofa,S. scrofa,UH40,Sequences Record,2
S_scrofa,S. scrofa,UH40,Daily Record,2
C_elaphus,C. elaphus,UH40,Global Biodiversity,0
C_elaphus,C. elaphus,UH40,No Validation,14
C_elaphus,C. elaphus,UH40,Sequences Record,0
C_elaphus,C. elaphus,UH40,Daily Record,0
E_europaeus,E. europaeus,UH40,Global Biodiversity,0
E_europaeus,E. europaeus,UH40,No Validation,0
E_europaeus,E. europaeus,UH40,Sequences Record,0
E_europaeus,E. europaeus,UH40,Daily Record,0
M_putorius,M. putorius,UH40,Global Biodiversity,0
M_putorius,M. putorius,UH40,No Validation,0
M_putorius,M. putorius,UH40,Sequences Record,0
M_putorius,M. putorius,UH40,Daily Record,0
C_pynernaica,C. pynernaica,UH40,Global Biodiversity,0
C_pynernaica,C. pynernaica,UH40,No Validation,0
C_pynernaica,C. pynernaica,UH40,Sequences Record,0
C_pynernaica,C. pynernaica,UH40,Daily Record,0
S_vulgaris,S. vulgaris,UH40,Global Biodiversity,0
S_vulgaris,S. vulgaris,UH40,No Validation,0
S_vulgaris,S. vulgaris,UH40,Sequences Record,0
S_vulgaris,S. vulgaris,UH40,Daily Record,0
E_quercinus,E. quercinus,UH40,Global Biodiversity,0
E_quercinus,E. quercinus,UH40,No Validation,0
E_quercinus,E. quercinus,UH40,Sequences Record,0
E_quercinus,E. quercinus,UH40,Daily Record,0
